,brand,category,cost,year,debt_ratio,profit,fairness,growth,stability
169,카페051(cafe051),커피,5910.0,2,-489,5,3,4,1
170,수내닭꼬치,기타 외식,5094.0,7,207,3,3,2,4
171,고기듬뿍,한식,4675.0,5,119,5,3,4,3
172,치교치밥&치킨,기타 외식,3563.0,6,979,1,3,5,5
173,벌크커피(BULK,커피,5990.0,7,135,5,3,4,3
174,만랩커피,커피,8790.0,8,279,4,3,4,4
175,대구반야월막창,기타 외식,5610.0,12,24,4,3,3,2
176,청담동말자싸롱,기타 외식,5640.0,10,116,2,3,2,3
177,오늘은카레,기타 외국식,58.0,4,145,5,3,0,4
178,뽕뜨락피자,피자,8590.0,14,77,2,3,2,3
179,명인만두,분식,12745.0,18,420,2,3,2,5
180,홍춘천,한식,11760.0,17,162,1,3,2,4
181,코리안바베큐,치킨,7100.0,21,1373,3,3,2,5
182,텐퍼센트스페셜티커피,커피,7185.0,10,136,4,3,5,3
183,더치앤빈,커피,6288.0,8,243,4,3,0,4
184,박가부대,한식,10799.0,25,57,3,3,4,3
185,와플칸,기타 외식,4205.0,3,153,3,3,0,4
186,신마포갈매기,한식,13535.0,8,1472,1,3,2,5
187,호세야오리바베큐,한식,7480.0,10,239,4,3,4,4
188,홍콩할매불닭발,한식,6680.0,5,19,5,3,5,2
189,대구반야월막창,기타 외식,5610.0,12,23,2,3,2,2
190,새마을식당,한식,8134.0,29,78,4,3,4,3
191,이춘봉인생치킨,치킨,4873.0,8,53,5,3,5,3
192,청자다방,커피,7001.0,5,-236,1,3,5,1
193,인생극장,한식,1200.0,14,235,3,3,4,4
194,황금코다리,한식,14690.0,7,680,1,3,3,5
195,난타5000피자,피자,6570.0,10,71,4,3,3,3
196,덮덮밥,한식,2962.0,7,141,5,3,4,4
197,캠토토스트,기타 외식,4301.0,13,341,2,3,3,4
198,포메인,기타 외식,18595.0,17,17,4,3,3,2
199,맛깔참죽,한식,6315.0,24,284,3,3,2,4
200,신포우리만두,분식,12716.0,29,114,3,3,3,3
201,최가네크레이지떡볶이,분식,2950.0,3,95,5,3,0,3
202,을찌로국물떡볶이,분식,3717.0,6,33484,3,3,4,5
203,달리는커피,커피,3256.0,3,-710,2,3,0,1
204,쿡1015,기타 외식,6118.0,8,42,4,3,3,2
205,한촌설렁탕,한식,14910.0,17,563,2,3,3,5
206,곱창고,기타 외식,5175.0,7,154,5,3,3,4
207,뚱스밥버거,분식,3762.0,8,-142,1,3,0,1
208,어사출또,기타 외식,14893.0,7,234,3,3,3,4
209,쿠우쿠우,일식,82200.0,11,2,3,3,1,2
210,고봉김밥,분식,6426.0,9,874,1,3,1,5
211,송사부수제쌀고로케,제과제빵,6405.0,5,186,5,3,2,4
212,곤지암할매소머리국밥,한식,4930.0,25,74,5,3,4,3
213,라화쿵부,중식,7925.0,8,102,4,3,1,3
214,피자파는집,피자,5445.0,5,162,4,3,4,4
215,둘둘치킨,치킨,6580.0,26,82,3,3,2,3
216,청춘감성쌀핫도그,기타 외식,3400.0,7,27,2,3,1,2
217,그라찌에,기타 외식,6770.0,20,127,2,3,1,3
218,웰덤치킨,패스트푸드,3455.0,16,328,2,3,2,4
219,라무진,기타 외식,8370.0,9,12,4,3,3,2
220,오마뎅,분식,7925.0,6,73,5,3,4,3
221,배달삼겹,한식,2450.0,5,176,4,3,4,4
222,3883,주점,7340.0,5,19,5,3,5,2
223,커피온리,커피,7207.0,7,633,1,3,1,5
224,담소,기타 외식,13460.0,10,21,4,3,3,2
225,만두여행,분식,6217.0,7,459,4,3,5,5
226,아비꼬,기타 외식,12290.0,13,701,2,3,2,5
227,커피니(COFFEENIE),커피,8800.0,14,-131,1,3,2,1
228,선비꼬마김밥,분식,5551.0,5,68,5,3,5,3
229,라라코스트(raracost),기타 외식,19010.0,5,112,4,3,3,3
230,토마토김밥,분식,6129.0,11,515,3,3,3,5
231,콩심,기타 외식,9155.0,8,209,3,3,1,4
232,다사랑,치킨,14170.0,17,7,4,3,3,2
233,마리웨일237,제과제빵,9245.0,15,2212,1,3,2,5
234,육쌈냉면,한식,16728.0,10,29,5,3,2,2
235,순수치킨,기타 외식,4270.0,8,-147,1,3,3,1
236,진이찬방,한식,6290.0,11,211,3,3,4,4
237,혜화동돈까스극장,기타 외식,4169.0,3,69,5,3,1,3
238,우리집다음에맛있는집양평해장국,기타 외식,942.0,14,18,4,3,3,2
239,전골의법칙,한식,850.0,9,121,4,3,4,3
240,빅스타피자(Bigstar,피자,6402.0,9,385,4,3,5,5
241,계동치킨,치킨,3960.0,19,355,3,3,3,5
242,배부장찌개,한식,6085.0,5,28,4,3,2,2
243,수유리우동집,분식,6600.0,8,75,2,3,3,3
244,김충기꽃삼겹,한식,1674.0,8,505,3,3,4,5
245,뉴욕버거,패스트푸드,10205.0,14,1175,3,3,3,5
246,막창도둑,기타 외식,6722.0,7,157,5,3,5,4
247,이백장돈가스,분식,5546.0,16,134,3,3,2,3
248,"오늘,와인한잔",주점,13727.0,6,92,5,3,3,3
249,배터지는생동까스,일식,4610.0,14,100,4,3,4,3
250,배터지는생동까스,일식,4610.0,14,100,4,3,4,3
251,미스터브리즈커피,기타 외식,5115.0,12,-179,1,3,1,1
252,조선화로집,한식,12850.0,23,-640,1,3,1,1
253,오가다,음료 (커피 외),14210.0,13,270,2,3,2,4
254,두뽂스,한식,4210.0,8,406,3,3,2,5
255,비씨팔백(BC800),커피,7265.0,12,204,3,3,4,4
256,서가앤쿡,서양식,20460.0,12,13,2,3,2,2
257,곱분이곱창,한식,5874.0,7,17,5,3,5,2
258,토마토도시락,기타 외식,6155.0,13,359,3,3,2,5
259,동명,일식,5361.0,5,41,5,3,2,2
260,네오피자,피자,3257.0,6,339,4,3,3,4
261,맛찬들왕소금구이,한식,18250.0,10,40,4,3,3,2
262,장충동왕족발보쌈,한식,4970.0,22,156,4,3,4,4
263,디에떼에스프레소,커피,11800.0,12,406,2,3,4,5
264,닥엔돈스,기타 외식,3235.0,6,263,5,3,5,4
265,쌀통닭,치킨,6500.0,9,547,4,3,3,5
266,핫썬치킨,치킨,7150.0,19,268,2,3,1,4
267,박군치킨,치킨,7020.0,9,186,3,3,3,4
268,웅이네,기타 외식,6215.0,6,184,5,3,4,4
269,올떡,분식,3689.0,7,3,2,3,1,2
270,불막열삼,한식,7415.0,6,298,4,3,5,4
271,버무리떡볶이,분식,5613.0,12,156,3,3,3,4
272,더착한커피,커피,8180.0,12,932,3,3,1,5
273,브롱스(BRONX),기타 외식,9470.0,9,-159,1,3,2,1
274,통뼈감자탕,한식,530.0,22,213,2,3,3,4
275,카페디아떼,커피,4400.0,14,20262,3,3,3,5
276,맛으로여는세상벌집삼겹살,한식,9505.0,16,1461,3,3,1,5
277,인생닭강정,치킨,4159.0,3,3,2,3,0,2
278,육미명가옛날아우내순대&보쌈,기타 외식,1750.0,21,106,4,3,3,3
279,카페게이트,커피,6448.0,14,83,3,3,2,3
280,군자대한곱창,기타 외식,10890.0,4,98,5,3,5,3
281,THE진국,한식,10355.0,12,142,4,3,3,4
282,미쳐버린파닭,치킨,2810.0,8,113,4,3,3,3
283,땡큐맘치킨,치킨,5881.0,8,506,3,3,4,5
284,비턴,주점,9055.0,12,5,2,3,2,2
285,오븐에빠진닭,치킨,10659.0,22,15,4,3,3,2
286,만복국수집,주점,5930.0,14,76,4,3,4,3
287,등뼈가,한식,8400.0,5,125,5,3,3,3
288,이바돔감자탕,한식,24480.0,23,-640,1,3,1,1
289,보고싶다,기타 외식,12931.0,5,108,4,3,1,3
290,79대포,주점,6932.0,7,5,5,3,4,2
291,요녀석,서양식,3300.0,4,140,5,3,5,4
292,비스트로피자,패스트푸드,6207.0,4,126,5,3,5,3
293,아마스빈코리아,음료 (커피 외),6660.0,8,163,2,3,2,4
294,카페루앤비,커피,5349.0,9,414,3,3,3,5
295,스쿨푸드,분식,17230.0,16,414,2,3,3,5
296,스시노백쉐프(스시노BackChef),일식,50880.0,9,-405,1,3,0,1
297,하루엔소쿠,일식,10712.0,7,394,3,3,3,5
298,The,한식,3748.0,5,20,5,3,4,2
299,치킨의민족,치킨,5090.0,5,-153,1,3,2,1
300,유가네한우곰탕,한식,17770.0,6,93,4,3,2,3
301,소담촌,기타 외식,5156.0,9,413,3,3,2,5
302,짚신매운갈비찜,한식,7982.0,12,186,2,3,4,4
303,1943,기타 외식,23400.0,5,11,5,3,5,2
304,생활커피,커피,8234.0,10,179,4,3,3,4
305,할머니가래떡볶이,분식,4210.0,8,406,3,3,2,5
306,컬투치킨,치킨,4357.0,13,-758,2,3,2,1
307,김복남맥주,주점,5095.0,5,155,5,3,4,4
308,생생돈까스,분식,4095.0,20,53,3,3,3,3
309,뚱보집,기타 외식,7252.0,5,65,2,3,4,3
310,마시그래이,커피,6270.0,9,77,4,3,4,3
311,무지개맥주,주점,8965.0,8,74,4,3,4,3
312,우쿠야,기타 외식,9527.0,4,154,2,3,5,4
313,대동집,한식,10230.0,11,3,5,3,4,2
314,KMGM,주점,12950.0,4,433,4,3,5,5
315,신불떡볶이,분식,3720.0,3,63,5,3,0,3
316,로띠번,제과제빵,9492.0,11,195,3,3,2,4
317,굴세상,기타 외식,4763.0,9,21,3,3,3,2
318,북창동순두부,한식,11720.0,17,117,3,3,3,3
319,카페드림,커피,14690.0,13,162775,2,3,1,5
320,퀴즈노스서브,패스트푸드,15304.0,18,130,3,3,2,3
321,스트릿츄러스,제과제빵,8096.0,9,545,2,3,2,5
322,큰통치킨,치킨,2552.0,12,0,4,3,1,1
323,맛나감자탕,한식,15990.0,15,181,3,3,3,4
324,PC토랑,패스트푸드,1311.0,13,36,3,3,5,2
325,고피자(GOPIZZA),피자,9580.0,6,128,1,3,4,3
326,오봉도시락,한식,4950.0,17,1292,2,3,3,5
327,종로맥가,기타 외식,4809.0,8,39,3,3,2,2
328,일차돌,한식,7150.0,14,25,4,3,2,2
329,경아두마리치킨,치킨,2810.0,21,59,3,3,3,3
330,통큰갈비,기타 외식,10357.0,7,67,5,3,4,3
331,인쌩맥주(the,주점,11740.0,5,11,5,3,5,2
332,미소야,일식,11050.0,20,131,2,3,4,3
333,청담이상,주점,21945.0,11,41,2,3,1,2
334,곱창이야기,한식,9910.0,10,152,4,3,2,4
